LISTED RESTAURANTS,LINKS RESTAURANTS,DIFFERENCE,5PM FILES
Ahmedabad=1355,Ahmedabad=1359,-4,1304
Bangalore=1486,Bangalore=1487,-1,1494
Chennai=1238,Chennai=1237,1,905
Delhi=1396,Delhi=1407,-11,1479
Gurgaon=1781,Gurgaon=1781,0,1816
Hyderabad=969,Hyderabad=971,-2,594
Kolkata=1457,Kolkata=1452,5,1605
Mumbai=1549,Mumbai=1548,1,1550
Pune=1666,Pune=1647,19,1647
Abohar=33,Abohar=52,-19,28
Adilabad=15,Adilabad=25,-10,17
Adityapur=424,Adityapur=424,0,466
Adoni=35,Adoni=42,-7,32
Agartala=144,Agartala=144,0,180
Agra=499,Agra=476,23,565
Ahmednagar=145,Ahmednagar=145,0,146
Aizawl=32,Aizawl=40,-8,31
Ajmer=304,Ajmer=304,0,311
Akola=80,Akola=99,-19,87
Alappuzha=54,Alappuzha=87,-33,63
Aligarh=198,Aligarh=198,0,255
Alipurduar=28,Alipurduar=50,-22,38
Allahabad=491,Allahabad=487,4,521
Almora=1,Almora=1,0,1
Alwar=113,Alwar=113,0,121
Ambajogai=18,Ambajogai=25,-7,18
Ambala=176,Ambala=176,0,174
Ambikapur=57,Ambikapur=81,-24,66
Ambur=36,Ambur=65,-29,43
Amravati=193,Amravati=193,0,208
Amreli=15,Amreli=26,-11,18
Amritsar=515,Amritsar=515,0,644
Anand=1525,Anand=1535,-10,1655
Anantapur=198,Anantapur=198,0,170
Ankleshwar=85,Ankleshwar=99,-14,90
Arakkonam=28,Arakkonam=37,-9,24
Arambagh=14,Arambagh=23,-9,19
Araria=15,Araria=21,-6,15
Arrah=44,Arrah=59,-15,44
Asansol=140,Asansol=140,0,146
Aurangabad=613,Aurangabad=623,-10,635
Aurangabadbihar=31,Aurangabadbihar=65,-34,32
Azamgarh=48,Azamgarh=56,-8,49
Baddi=69,Baddi=74,-5,63
Bagalkot=19,Bagalkot=26,-7,22
Bagdogra=276,Bagdogra=276,0,300
Bahadurgarh=100,Bahadurgarh=100,0,105
Bahraich=32,Bahraich=49,-17,33
Balaghat=30,Balaghat=40,-10,29
Balangir=19,Balangir=25,-6,15
Balasore=67,Balasore=95,-28,80
Ballari=71,Ballari=93,-22,50
Ballia=29,Ballia=37,-8,29
Balrampur=18,Balrampur=26,-8,19
Balurghat=30,Balurghat=42,-12,34
Banda=30,Banda=42,-12,29
Bankura=34,Bankura=41,-7,34
Baramati=62,Baramati=83,-21,61
Baran=23,Baran=27,-4,24
Bardhaman=98,Bardhaman=98,0,102
Bardoli=42,Bardoli=52,-10,39
Bareilly=417,Bareilly=416,1,467
Baripada=24,Baripada=36,-12,28
Barmer=23,Barmer=27,-4,24
Barnala=50,Barnala=79,-29,67
Barshi=22,Barshi=26,-4,21
Basirhat=9,Basirhat=21,-12,10
Basti=40,Basti=65,-25,44
Batala=34,Batala=63,-29,34
Bathinda=177,Bathinda=177,0,184
Beawar=52,Beawar=70,-18,41
Beed=45,Beed=65,-20,49
Begusarai=58,Begusarai=71,-13,61
Bela-pratapgarh=19,Bela-pratapgarh=34,-15,20
Belgaum=278,Belgaum=278,0,226
Berhampore=65,Berhampore=72,-7,70
Berhampur=125,Berhampur=125,0,104
Bettiah=33,Bettiah=42,-9,35
Betul=25,Betul=38,-13,25
Bhadohi=15,Bhadohi=24,-9,14
Bhadrachalam=16,Bhadrachalam=27,-11,18
Bhadrak=33,Bhadrak=51,-18,32
Bhagalpur=168,Bhagalpur=168,0,178
Bharabanki=54,Bharabanki=69,-15,54
Bharatpur=82,Bharatpur=100,-18,82
Bharuch=98,Bharuch=98,0,104
Bhatkal=8,Bhatkal=23,-15,14
Bhavnagar=142,Bhavnagar=142,0,131
Bhawanipatna=19,Bhawanipatna=25,-6,20
Bhilai=212,Bhilai=212,0,190
Bhilwara=149,Bhilwara=149,0,164
Bhimavaram=69,Bhimavaram=86,-17,63
Bhind=25,Bhind=35,-10,27
Bhiwadi=83,Bhiwadi=98,-15,80
Bhiwani=76,Bhiwani=100,-24,65
Bhopal=645,Bhopal=646,-1,735
Bhubaneswar=659,Bhubaneswar=655,4,648
Bhuj=70,Bhuj=96,-26,65
Bhusawal=19,Bhusawal=37,-18,22
Bidar=44,Bidar=64,-20,45
Biharsharif=39,Biharsharif=52,-13,42
Bijapur=58,Bijapur=70,-12,52
Bijnor=31,Bijnor=49,-18,31
Bikaner=263,Bikaner=263,0,262
Bilaspur=245,Bilaspur=245,0,270
Bilimora=1,Bilimora=3,-2,1
Biswanath-chariali=8,Biswanath-chariali=24,-16,8
Boisar=2,Boisar=2,0,10
Bokaro=139,Bokaro=139,0,2
Bolpur=24,Bolpur=28,-4,149
Bongaigaon=40,Bongaigaon=51,-11,24
Bongaon=12,Bongaon=13,-1,40
Budaun=38,Budaun=52,-14,12
Budhwal=9,Budhwal=12,-3,37
Bulandshahr=48,Bulandshahr=68,-20,9
Bundi=25,Bundi=28,-3,49
Burhanpur=30,Burhanpur=50,-20,25
Buxar=20,Buxar=28,-8,33
Chaibasa=32,Chaibasa=40,-8,19
Chakdaha=14,Chakdaha=20,-6,37
Chalisgaon=19,Chalisgaon=23,-4,12
Chandausi=22,Chandausi=31,-9,19
Chandigarh=999,Chandigarh=997,2,22
Chandrapur=92,Chandrapur=99,-7,965
Chhapra=40,Chhapra=52,-12,103
Chhatarpur=39,Chhatarpur=55,-16,41
Chhindwara=67,Chhindwara=86,-19,39
Chidambaram=20,Chidambaram=35,-15,71
Chikkaballapur=24,Chikkaballapur=38,-14,18
Chikmagalur=1,Chikmagalur=61,-60,20
Chiplun=1,Chiplun=21,-20,34
Chitradurga=35,Chitradurga=80,-45,1
Chittoor=53,Chittoor=69,-16,36
Chittorgarh=48,Chittorgarh=58,-10,54
Churu=24,Churu=27,-3,47
Coimbatore=728,Coimbatore=726,2,25
Cooch-behar=48,Cooch-behar=57,-9,714
Cuddalore=67,Cuddalore=82,-15,51
Cuttack=260,Cuttack=260,0,64
Dahanu=1,Dahanu=2,-1,252
Dahod=25,Dahod=40,-15,1
Daltonganj=36,Daltonganj=51,-15,23
Daman=21,Daman=28,-7,42
Darbhanga=94,Darbhanga=94,0,13
Darjeeling=1,Darjeeling=3,-2,98
Dasuya=22,Dasuya=26,-4,1
Davanagere=121,Davanagere=121,0,22
Dehradun=803,Dehradun=803,0,109
Dehri=25,Dehri=36,-11,823
Deoghar=86,Deoghar=99,-13,26
Deoria-city=47,Deoria-city=70,-23,91
Dewas=77,Dewas=99,-22,47
Dhanbad=178,Dhanbad=178,0,81
Dharamshala=1,Dharamshala=25,-24,181
Dharmapuri=47,Dharmapuri=76,-29,1
Dharwad=137,Dharwad=137,0,42
Dholpur=28,Dholpur=34,-6,116
Dhule=68,Dhule=92,-24,16
Dibrugarh=104,Dibrugarh=104,0,60
Digboi=13,Digboi=21,-8,109
Dimapur=46,Dimapur=51,-5,13
Dindigul=83,Dindigul=89,-6,44
Diu=18,Diu=24,-6,95
Doddaballapura=16,Doddaballapura=26,-10,9
Duliajan=44,Duliajan=55,-11,19
Dumka=41,Dumka=55,-14,44
Dungarpur=7,Dungarpur=13,-6,42
Durgapur=183,Durgapur=183,0,6
Eluru=93,Eluru=99,-6,181
Erode=218,Erode=218,0,73
Etah=14,Etah=22,-8,206
Etawah=56,Etawah=83,-27,17
Faizabad=100,Faizabad=100,0,55
Faridabad=670,Faridabad=670,0,101
Faridkot=49,Faridkot=66,-17,669
Farrukhabad=47,Farrukhabad=66,-19,48
Fatehabad=35,Fatehabad=41,-6,49
Fatehgarh-sahib=27,Fatehgarh-sahib=48,-21,30
Fatehpur=33,Fatehpur=51,-18,1
Fazilka=17,Fazilka=18,-1,32
Firozabad=44,Firozabad=80,-36,16
Firozpur=110,Firozpur=110,0,46
Gadag-betigeri=16,Gadag-betigeri=24,-8,110
Gadwal=15,Gadwal=21,-6,12
Gandhidham=122,Gandhidham=122,0,15
Gangapur-city=27,Gangapur-city=38,-11,109
Gangarampur=14,Gangarampur=18,-4,30
Gangtok=15,Gangtok=21,-6,14
Gauriganj=16,Gauriganj=25,-9,15
Gaya=200,Gaya=200,0,16
Ghazipur=15,Ghazipur=25,-10,210
Giridih=26,Giridih=38,-12,15
Godhra=20,Godhra=27,-7,26
Gokak=12,Gokak=14,-2,20
Golaghat=28,Golaghat=39,-11,9
Gonda=42,Gonda=63,-21,34
Gondia=55,Gondia=83,-28,44
Gopalganj=28,Gopalganj=35,-7,63
Gorakhpur=393,Gorakhpur=393,0,28
